,customer_id,credit_label,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,annually_income_segment
22,44974,Good,825,267,126,488,160,462352000,479940000,17217200,5771010,284,83,20,0.8385598129292737,35,0.32,180,45,0.2990286440915842,Ổn định,2806000,Trên 1 tỷ
23,19483,Good,435,41,279,321,636,560411000,274028000,21363900,1719280,98,73,23,0.677848583307631,49,0.9,570,28,0.3637227094343375,Ổn định,7632000,Từ 300 triệu tới 1 tỷ
24,53901,Good,511,285,138,398,601,190397000,725247000,2165400,8287900,189,26,21,0.5655183633200979,34,0.4,542,26,0.6947417543543541,Rất ổn định,4574000,Trên 1 tỷ
25,40486,Good,266,201,106,501,174,685744000,6174000,53164700,9126800,132,31,49,0.3100149933878308,28,0.82,969,9,0.5861759266109693,Ổn định,6922000,Từ 300 triệu tới 1 tỷ
26,1143,Good,688,231,44,83,728,449689000,877460000,2193400,5321680,121,82,13,0.6703520909219047,72,0.33,620,31,0.3154175965410838,Rất ổn định,6523000,Dưới 300 triệu
27,34087,Good,389,312,184,396,627,157832000,717242000,56631200,3519960,137,16,1,0.5120491893809761,35,0.16,814,3,0.7696093535318298,Rất ổn định,5594000,Trên 1 tỷ
28,22119,Good,848,1,148,390,919,255790000,834853000,79389500,5204540,183,78,1,0.4596338301464462,78,0.37,220,43,0.5350105347870263,Rất ổn định,4785000,Dưới 300 triệu
29,1116,Good,604,323,154,102,78,99339000,187342000,32634400,3675390,99,52,16,0.321393315311191,80,0.85,805,2,0.5679116424982945,Rất ổn định,5261000,Trên 3 tỷ
30,79454,Good,296,98,130,33,59,22011000,418055000,66536300,326010,225,84,17,0.5902197817553887,90,0.79,746,46,0.4842727094809549,Rất ổn định,3728000,Trên 3 tỷ
31,1933,Good,627,326,270,542,562,625233000,138709000,1742300,4838560,221,96,56,0.3504514938832183,33,0.52,235,47,0.0682262189573708,Ổn định,471000,Từ 300 triệu tới 1 tỷ
32,9746,Good,837,229,20,152,965,72284000,699484000,15044300,8421580,263,89,6,0.6493633214060152,52,0.81,11,38,0.0453405533317976,Rất ổn định,9320000,Dưới 300 triệu
33,94694,Good,886,166,142,586,867,185330000,804189000,5216100,7751680,196,42,1,0.4977984433821069,33,0.96,556,28,0.7631508881621432,Ổn định,8311000,Trên 1 tỷ
34,98936,Good,698,52,127,232,897,342023000,310750000,61915000,4869290,67,75,1,0.5568937170081137,37,0.87,866,6,0.7786602989946634,Tạm ổn,2109000,Dưới 300 triệu
35,88270,Good,418,112,117,165,277,251998000,82519000,4056400,6061030,3,79,1,0.081474921046537,63,0.85,692,29,0.9555184090797756,Ổn định,3376000,Từ 300 triệu tới 1 tỷ
36,35654,Good,117,355,289,46,419,645223000,884712000,38852000,4397710,150,27,11,0.6234047512958961,6,0.49,272,27,0.8054080867766537,Ổn định,1880000,Dưới 300 triệu
37,41053,Good,618,28,106,43,272,913104000,877512000,69593900,5361210,260,53,24,0.5713021004267731,85,0.42,669,41,0.6249269106171393,Tạm ổn,8917000,Trên 3 tỷ
38,65817,Good,863,77,228,462,561,907624000,435904000,89943800,7816170,13,80,2,0.98816140346526,38,0.17,289,9,0.6563651532461668,Rất ổn định,7553000,Trên 1 tỷ
39,24405,Good,489,142,286,383,684,654878000,243162000,46882800,236690,10,59,15,0.7894041181953468,27,0.5,61,40,0.0539989718663787,Ổn định,1025000,Trên 1 tỷ
40,55546,Good,707,24,206,190,990,802321000,257180000,86121400,8594150,94,48,15,0.2582747785317706,90,0.7,736,16,0.0986330752801104,Ổn định,3363000,Trên 1 tỷ
41,86456,Good,682,10,83,222,128,548475000,500156000,73810900,4546160,282,77,4,0.3940831832730407,11,0.42,440,48,0.6660178025828679,Rất ổn định,4988000,Trên 1 tỷ
42,31052,Good,711,82,93,52,730,390668000,310178000,10242500,4457590,142,82,2,0.107562973790094,20,0.69,398,39,0.6047914112871727,Rất ổn định,8180000,Trên 1 tỷ
43,13338,Good,689,257,165,417,937,69113000,105294000,15997100,44050,95,15,3,0.0177822571344459,4,0.36,180,20,0.7544715600255417,Ổn định,7299000,Trên 1 tỷ
44,75278,Good,525,44,5,466,251,110408000,329809000,49382000,3378260,253,69,1,0.8880562941282919,52,0.15,415,29,0.1438104019850408,Tạm ổn,1810000,Từ 300 triệu tới 1 tỷ
45,20884,Good,480,149,6,184,494,388670000,833744000,15439100,1234550,93,74,2,0.4265196588723781,25,0.85,53,19,0.0217009385875194,Rất ổn định,9670000,Từ 300 triệu tới 1 tỷ
46,56758,Good,707,347,53,258,685,835592000,964024000,67195900,7539380,42,35,1,0.3630256335564541,35,0.51,268,29,0.6397815862018588,Rất ổn định,5456000,Dưới 300 triệu
47,28256,Good,323,49,76,468,314,598681000,106805000,858600,8531110,35,30,15,0.4309044396818605,32,0.09,283,24,0.6389969279816833,Rất ổn định,1862000,Trên 1 tỷ
48,70268,Good,335,162,157,280,160,955337000,983123000,45883600,3687540,186,10,1,0.626810840911005,32,0.57,198,26,0.9728456285838912,Rất ổn định,6615000,Từ 300 triệu tới 1 tỷ
49,17107,Good,766,207,164,303,746,656289000,908828000,59517900,1557980,223,46,55,0.225207431490661,85,0.67,468,39,0.1645281721654253,Ổn định,4162000,Trên 3 tỷ
50,35572,Good,570,245,145,264,487,226896000,595073000,95688000,8795950,53,22,32,0.1688125422799384,65,0.53,787,45,0.521986228004864,Ổn định,8169000,Dưới 300 triệu
51,56192,Good,354,352,165,498,127,591372000,561826000,63300700,4722430,294,79,1,0.2631484258018742,23,0.89,762,22,0.8392052085395643,Ổn định,8949000,Trên 3 tỷ
52,33023,Good,440,363,28,208,421,65994000,671774000,87865600,7692160,71,21,5,0.3605739709987647,79,0.2,701,30,0.6618786701340946,Rất ổn định,7737000,Dưới 300 triệu
53,90635,Good,627,339,30,464,17,57738000,100595000,17096900,2331270,178,78,21,0.0492062777506142,64,0.12,276,46,0.5158639560125117,Rất ổn định,482000,Trên 3 tỷ
54,50820,Good,761,176,169,416,995,621748000,687673000,68907400,3671590,218,31,4,0.058205606670432,73,0.96,571,41,0.6274620863463553,Rất ổn định,7422000,Từ 300 triệu tới 1 tỷ
55,98516,Good,728,146,113,486,203,699947000,464872000,21171700,6075550,187,76,53,0.688643908420767,2,0.71,714,50,0.4534167277578937,Rất ổn định,408000,Dưới 300 triệu
56,49463,Bad,390,76,74,55,729,748394000,587382000,45727200,1153500,253,93,65,0.0567000343088867,72,0.8,668,15,0.4256102777982992,Ổn định,465000,Trên 3 tỷ
57,9707,Good,779,122,33,63,39,590686000,345778000,10270500,254370,282,60,5,0.8852993223307148,84,0.18,765,47,0.0505365751815445,Rất ổn định,2359000,Trên 3 tỷ
58,4810,Bad,892,5,97,292,510,560966000,213192000,12696600,9341400,13,3,20,0.0142870070314776,93,0.56,733,12,0.5406171693075317,Thất thường,7261000,Trên 1 tỷ
59,50993,Good,381,318,64,371,797,177060000,235305000,24498400,4043590,101,33,43,0.026170840254784,47,0.01,421,45,0.8197315923501229,Rất ổn định,2406000,Từ 300 triệu tới 1 tỷ
60,64928,Good,760,201,73,11,840,452906000,484785000,74157400,1963090,265,58,60,0.4829801092786425,91,0.47,487,4,0.8002895498445527,Rất ổn định,6570000,Trên 3 tỷ
61,32802,Good,659,253,81,436,787,315331000,892932000,98147200,4278520,275,54,10,0.1604826685898689,7,0.76,652,6,0.924960683460639,Rất ổn định,6797000,Từ 300 triệu tới 1 tỷ
62,49918,Good,316,260,155,352,340,165487000,300754000,88011700,3442640,194,65,5,0.3828714898380242,92,0.7,126,48,0.618100333432184,Rất ổn định,3224000,Trên 1 tỷ
63,98521,Good,492,362,139,14,267,369555000,287320000,80454500,8403470,197,12,38,0.5603203311180572,96,0.6,893,15,0.1362927533884944,Ổn định,7669000,Trên 1 tỷ
64,21406,Good,525,325,33,95,841,306495000,765022000,57209700,7382000,131,86,65,0.5970959581240369,36,0.99,59,26,0.335542329022756,Ổn định,7327000,Trên 3 tỷ
65,86567,Good,615,37,29,471,470,719076000,371936000,22665800,3658580,227,76,4,0.4032843330206311,90,0.57,959,33,0.996799679604178,Ổn định,400000,Trên 3 tỷ
66,52030,Bad,350,340,153,360,857,815830000,8500000,13592600,86260,142,36,44,0.2424915439662361,71,0.93,838,45,0.4319757485878193,Tạm ổn,5088000,Trên 1 tỷ
67,71081,Good,861,5,159,149,855,388267000,615646000,304100,9578230,36,36,24,0.5303100203759682,53,0.22,243,22,0.4671697849784353,Ổn định,5901000,Trên 3 tỷ
68,97063,Good,784,349,269,527,613,85333000,154853000,75237400,3967790,188,56,5,0.6291401889908174,28,0.66,446,13,0.4288062418912413,Rất ổn định,9521000,Trên 1 tỷ
69,91721,Good,765,209,113,409,894,15031000,203840000,24270100,4960150,136,91,2,0.7747772543440282,11,0.9,635,22,0.0416162404825054,Rất ổn định,8863000,Trên 3 tỷ
70,99719,Good,696,176,279,247,559,779071000,995638000,16183300,3279180,112,76,13,0.2939279632967603,59,0.9,969,26,0.6388341720353801,Tạm ổn,2144000,Trên 1 tỷ
71,5975,Good,520,196,7,13,317,52483000,626618000,99713800,5016140,279,78,12,0.7971959103619312,61,0.27,694,31,0.8424154083389288,Rất ổn định,4406000,Trên 3 tỷ
72,50874,Good,343,177,77,245,396,960124000,167860000,72589400,2743560,26,68,48,0.5702043960460049,5,0.01,578,12,0.7596631753750328,Rất ổn định,5521000,Trên 3 tỷ
73,58869,Good,477,312,210,359,21,728756000,657457000,61171500,8242240,16,71,1,0.1616301344111249,30,0.82,525,22,0.3835332469598919,Rất ổn định,6424000,Trên 1 tỷ
74,22757,Good,789,156,258,303,697,53905000,198713000,48418000,1799690,67,57,9,0.0134199140147742,62,0.08,138,27,0.9197463665786262,Rất ổn định,1468000,Trên 1 tỷ
75,35383,Good,836,235,179,301,12,297329000,867466000,4471500,8134000,146,77,3,0.0596587700088878,50,0.75,114,34,0.1188729413044934,Rất ổn định,2007000,Dưới 300 triệu
76,40084,Good,341,357,185,523,792,153740000,281712000,92228300,4252080,112,68,2,0.0800416263425698,69,0.79,784,41,0.7261505181707212,Rất ổn định,7392000,Trên 3 tỷ
77,7976,Good,727,185,85,349,417,449719000,89073000,21557300,8335330,95,67,1,0.6661742958215033,87,0.92,909,17,0.2815338134912086,Ổn định,8786000,Từ 300 triệu tới 1 tỷ
78,46926,Good,153,45,299,473,393,491565000,826580000,2254200,6467110,43,56,39,0.4449669635564264,9,0.03,780,48,0.4752384442636364,Ổn định,4978000,Từ 300 triệu tới 1 tỷ
79,65618,Good,827,82,63,292,433,115623000,437313000,60052700,2513070,39,30,17,0.0654571715732245,66,0.93,30,23,0.6591976180701673,Rất ổn định,1502000,Trên 1 tỷ
80,93625,Good,850,144,76,232,508,277236000,385976000,74579500,901090,123,57,7,0.8130383623479582,65,0.42,103,49,0.7159751851154389,Rất ổn định,3890000,Dưới 300 triệu
81,55674,Good,309,241,145,418,837,633591000,792464000,35615500,8858210,264,67,66,0.1061603390751786,98,0.6,243,19,0.8656111851377595,Rất ổn định,4039000,Dưới 300 triệu
82,18784,Good,722,80,160,46,779,86810000,130430000,63575000,133330,201,86,5,0.394211336702933,85,0.71,828,16,0.0460273105991289,Ổn định,6911000,Dưới 300 triệu
83,49222,Good,306,88,93,213,192,133395000,282952000,91865200,3123300,102,38,16,0.8497547015771243,32,0.89,829,37,0.924167899311392,Ổn định,2223000,Trên 1 tỷ
84,36976,Good,489,257,24,324,99,94948000,107578000,77912400,9625360,82,23,1,0.1610796426728147,44,0.21,406,44,0.6579870170996396,Ổn định,4487000,Dưới 300 triệu
85,17921,Good,527,36,12,44,498,483606000,232868000,14293900,6116770,114,96,15,0.8574021343303059,48,0.14,775,7,0.62024883247062,Rất ổn định,2846000,Từ 300 triệu tới 1 tỷ
86,65649,Good,101,362,188,100,341,547236000,333942000,31853500,6308510,111,58,11,0.5699746357009443,91,0.73,952,2,0.0673449027937649,Rất ổn định,6630000,Trên 3 tỷ
87,60377,Good,490,252,41,432,964,11662000,151195000,83513500,3811730,300,46,5,0.9053001559195276,55,0.7,625,37,0.7344617751340695,Ổn định,8939000,Từ 300 triệu tới 1 tỷ
88,43273,Good,489,361,154,329,582,548586000,396004000,37537900,3023310,298,1,30,0.5084559651540929,88,0.68,63,49,0.6048277554907119,Rất ổn định,6203000,Trên 3 tỷ
89,76499,Good,496,220,91,57,173,835040000,263935000,60617600,5277840,76,98,5,0.7350278061425188,30,0.57,231,0,0.0135717777666199,Rất ổn định,5512000,Trên 3 tỷ
90,41163,Bad,711,122,280,458,558,584031000,648894000,27645200,3876190,239,99,21,0.1932242516267971,67,0.11,702,16,0.7811755443980732,Rất ổn định,485000,Từ 300 triệu tới 1 tỷ
91,5015,Good,876,213,27,470,487,969467000,420572000,98720700,1637030,259,71,11,0.1576645845383769,22,0.07,109,48,0.5540622029932742,Ổn định,1697000,Từ 300 triệu tới 1 tỷ
92,43227,Good,710,351,54,329,958,524450000,633470000,35543200,8696490,7,91,2,0.4393123840339967,15,0.85,264,1,0.771614132733877,Rất ổn định,2023000,Từ 300 triệu tới 1 tỷ
93,88684,Bad,627,294,72,13,643,392488000,85879000,82156900,9064810,178,2,8,0.7952482208359383,23,0.59,921,43,0.0355571317733731,Rất ổn định,4989000,Trên 1 tỷ
94,44372,Good,809,329,222,252,548,466717000,928969000,54996100,133240,192,82,1,0.6856087963353349,37,0.31,558,12,0.7718164367085313,Rất ổn định,6092000,Dưới 300 triệu
95,31923,Good,632,265,113,214,788,50623000,419100000,75207000,1650090,290,51,1,0.2803621222670865,33,0.38,850,3,0.2646974168447125,Rất ổn định,6310000,Trên 1 tỷ
96,91000,Good,620,263,106,395,318,529940000,451669000,19859300,4634390,109,72,54,0.3477797058029842,18,0.05,50,38,0.6063238750398702,Ổn định,4709000,Từ 300 triệu tới 1 tỷ
97,97414,Good,281,267,124,471,727,121762000,498811000,36305500,8053310,177,65,5,0.5155339601890441,46,0.02,148,4,0.5808103985505005,Rất ổn định,1088000,Trên 1 tỷ
98,9997,Good,402,102,207,117,802,63293000,363813000,95479300,3571880,190,92,3,0.3516211727018418,8,0.33,518,45,0.799214006962631,Rất ổn định,6406000,Trên 1 tỷ
99,61727,Good,657,72,163,159,384,693040000,236961000,39769400,2012610,16,61,2,0.8721547093170661,60,0.41,547,30,0.563186128432066,Rất ổn định,5919000,Từ 300 triệu tới 1 tỷ
100,82997,Good,451,340,46,156,311,687889000,557739000,78913900,4312590,296,62,2,0.6411364965587181,42,0.88,650,46,0.0107152005708001,Tạm ổn,790000,Trên 3 tỷ
101,44153,Good,253,33,169,64,300,895068000,341633000,22428800,9119300,200,7,1,0.8614696567059296,74,0.19,272,18,0.4226315523201326,Rất ổn định,8271000,Dưới 300 triệu
102,98850,Good,250,23,100,373,125,503938000,583544000,52815900,1457750,185,36,4,0.7609874928940276,72,0.67,271,42,0.1764581232646481,Rất ổn định,3272000,Trên 3 tỷ
103,18514,Good,761,77,86,436,938,745107000,402755000,98875800,6978270,84,28,4,0.4694271106374522,52,0.34,602,3,0.7635738738899455,Rất ổn định,6562000,Từ 300 triệu tới 1 tỷ
104,66774,Good,368,188,174,570,284,486515000,997917000,33073200,1156000,129,99,3,0.2195127663322267,43,0.2,778,22,0.1341792140281471,Rất ổn định,4495000,Từ 300 triệu tới 1 tỷ
105,50288,Bad,154,244,130,546,82,646050000,999413000,15269000,6776920,24,27,58,0.4094853130813143,74,0.85,340,11,0.7113082930628112,Ổn định,538000,Trên 3 tỷ
106,84393,Good,781,310,111,500,658,366203000,512508000,85731100,4015300,44,89,15,0.4302675479527795,70,0.44,51,5,0.2771881202315348,Rất ổn định,3295000,Dưới 300 triệu
107,24243,Good,366,301,293,419,513,363645000,423643000,43366500,7221660,14,94,1,0.6458540982431412,98,0.66,781,9,0.6244895739780069,Rất ổn định,8747000,Từ 300 triệu tới 1 tỷ
108,86773,Good,303,255,20,207,8,217473000,82759000,29728700,4286600,116,74,45,0.9599201612719412,85,0.15,105,46,0.4192911556102059,Ổn định,3019000,Trên 3 tỷ
109,87840,Good,711,77,233,171,71,203602000,487711000,59757700,2257350,36,89,13,0.5116052950082437,23,0.07,931,46,0.6188067241468677,Ổn định,1924000,Từ 300 triệu tới 1 tỷ
110,6966,Good,780,120,110,465,829,667779000,923593000,18551300,4279830,31,80,11,0.3222637099717286,99,0.08,479,44,0.587899194477442,Ổn định,6670000,Từ 300 triệu tới 1 tỷ
111,85748,Good,97,298,217,508,687,509132000,839356000,42395500,1704380,300,73,4,0.939637019357872,29,0.65,228,15,0.5662513198268438,Rất ổn định,6655000,Trên 3 tỷ
112,7844,Good,44,101,294,581,603,139325000,649217000,74079700,5679360,73,88,12,0.925398194053732,75,0.75,437,42,0.6172030872151606,Ổn định,8040000,Dưới 300 triệu
113,57376,Good,223,148,88,473,246,404447000,833262000,58019800,828700,280,52,6,0.2830708590259557,81,0.65,434,31,0.2536678583904241,Rất ổn định,3622000,Từ 300 triệu tới 1 tỷ
114,22478,Good,432,258,105,598,20,421171000,90159000,24443900,8004750,75,50,1,0.3348976755612016,60,0.16,342,35,0.0410228552438165,Ổn định,1503000,Trên 1 tỷ
115,46220,Good,468,102,236,73,361,961677000,57582000,72986200,6306410,74,48,8,0.3412940765259322,50,0.07,865,37,0.1495729274927568,Rất ổn định,5521000,Từ 300 triệu tới 1 tỷ
116,59342,Good,97,278,217,10,566,637399000,316661000,8557600,2249940,274,25,1,0.8542580677221188,84,0.76,898,6,0.7822225101786852,Rất ổn định,5199000,Trên 3 tỷ
117,8099,Good,810,365,175,31,449,484112000,145910000,1448200,4133930,269,26,38,0.5332592625104756,74,0.54,368,24,0.6774886916456434,Rất ổn định,9241000,Trên 1 tỷ
118,30004,Good,726,293,260,75,277,798595000,609600000,77639700,6704030,276,64,42,0.7298742357383535,28,0.25,603,35,0.3167267608280322,Rất ổn định,7063000,Từ 300 triệu tới 1 tỷ
119,89451,Good,816,9,132,420,243,219195000,140073000,3692500,9910330,99,83,18,0.1973857738203388,64,0.43,264,31,0.6834415422371117,Ổn định,6712000,Từ 300 triệu tới 1 tỷ
120,33807,Good,588,145,176,593,681,209024000,396269000,96107800,8135400,6,41,21,0.7123803123656741,69,0.38,678,49,0.9677684349715548,Rất ổn định,3860000,Trên 1 tỷ
121,58369,Good,378,135,96,493,26,542698000,858387000,68690900,6361970,108,75,50,0.7594796177492259,68,0.01,367,40,0.5923544629432309,Rất ổn định,4035000,Dưới 300 triệu
122,55606,Good,802,180,65,5,82,250102000,876831000,85535600,7317490,281,86,22,0.792990645307042,76,0.14,109,36,0.6300481194060163,Ổn định,2502000,Trên 3 tỷ
123,23373,Good,533,208,18,328,883,274652000,223279000,91187100,9302940,22,49,3,0.6272901237259327,71,0.23,854,8,0.0024257337676608,Ổn định,1122000,Từ 300 triệu tới 1 tỷ
124,15375,Good,458,128,258,520,118,862734000,220830000,71025900,5342970,122,48,5,0.164320212862039,21,0.8,202,12,0.2890182955687033,Rất ổn định,8571000,Trên 3 tỷ
125,10366,Good,899,4,81,285,554,12971000,999819000,58490800,1997070,132,44,3,0.4063437352471348,48,0.11,735,11,0.8836008193513691,Tạm ổn,734000,Dưới 300 triệu
126,60309,Good,648,137,66,473,701,777937000,236058000,52007800,4583490,98,62,2,0.5608034784072722,20,0.06,991,17,0.0169780457472761,Rất ổn định,3829000,Trên 1 tỷ
127,82709,Good,357,340,158,42,88,212946000,402872000,17595300,3901420,55,98,1,0.365102272368647,51,0.94,240,11,0.2011647987017896,Ổn định,8107000,Từ 300 triệu tới 1 tỷ
128,51536,Good,498,89,199,447,793,507072000,66682000,17483900,3679230,204,55,1,0.090138751700732,75,0.78,982,36,0.0649713796689821,Rất ổn định,9038000,Từ 300 triệu tới 1 tỷ
129,98010,Good,194,331,58,355,128,335155000,706559000,86839700,5559930,187,31,3,0.6810576411556388,2,0.57,837,37,0.8294507735606297,Ổn định,5422000,Trên 3 tỷ
130,5085,Good,213,284,132,343,805,192769000,848861000,26713300,7278840,15,89,2,0.0842547627274507,67,0.33,363,48,0.9034391917774598,Rất ổn định,2877000,Trên 3 tỷ
131,20400,Good,865,249,68,163,444,516545000,550244000,30561800,9185900,195,56,59,0.0224229048755694,7,0.4,961,42,0.7243447776097603,Rất ổn định,2552000,Từ 300 triệu tới 1 tỷ
132,92929,Good,799,19,61,302,660,352947000,507081000,67047200,9968280,254,23,39,0.2046367901172401,25,0.64,434,2,0.7651332322061544,Rất ổn định,3948000,Trên 3 tỷ
133,6306,Good,739,49,253,208,775,590958000,692852000,53106600,6784020,104,65,49,0.343961531817076,18,0.46,286,18,0.4774459418825176,Ổn định,2731000,Trên 1 tỷ
134,51804,Good,291,263,137,142,31,385373000,632090000,92715300,5322840,203,81,23,0.8441339532163981,35,0.07,796,49,0.831436038228933,Tạm ổn,1951000,Trên 3 tỷ
135,17714,Good,531,169,87,552,799,926978000,172298000,65352600,1198920,41,30,3,0.2139582193099293,57,0.88,518,41,0.2427426613890939,Rất ổn định,6809000,Từ 300 triệu tới 1 tỷ
136,54913,Good,334,61,155,82,740,739294000,939614000,38905900,6298200,157,84,39,0.2094411706654807,79,0.79,155,46,0.902759737521531,Rất ổn định,4083000,Dưới 300 triệu
137,64731,Good,822,4,49,421,194,634458000,650992000,55268900,5121430,297,18,9,0.8930820973616206,57,0.83,87,21,0.5886136445767216,Ổn định,1722000,Trên 1 tỷ
138,96363,Good,654,50,203,166,240,965013000,823044000,30573700,6667410,228,32,1,0.8240836751115174,22,0.94,633,29,0.0637866892595999,Rất ổn định,6351000,Dưới 300 triệu
139,75458,Good,840,158,183,384,650,768277000,432408000,83517100,3056500,187,1,13,0.5361832951624438,94,0.94,95,46,0.4485038015943778,Rất ổn định,4761000,Trên 3 tỷ
140,46536,Good,106,243,270,16,543,256327000,389235000,24460700,3095870,293,83,1,0.8516260389680671,58,0.44,182,31,0.1450180901471905,Ổn định,2831000,Từ 300 triệu tới 1 tỷ
141,82034,Good,554,173,222,111,869,358741000,437140000,31141100,8347980,173,14,16,0.6556613841881455,33,0.61,590,1,0.7989163892529854,Rất ổn định,4954000,Từ 300 triệu tới 1 tỷ
142,77603,Good,668,159,140,550,554,607005000,885500000,31897300,3691260,48,19,1,0.2445805512655967,75,0.41,739,15,0.7526593066744568,Ổn định,2648000,Trên 1 tỷ
143,94247,Good,582,353,180,189,854,801880000,591802000,35195900,4164010,42,56,4,0.7650795413097121,32,0.68,844,0,0.908874132222806,Ổn định,2133000,Trên 1 tỷ
144,43890,Good,330,254,151,587,646,632764000,62473000,8384900,933780,237,62,5,0.774188609407155,8,0.77,978,47,0.6952098784252304,Rất ổn định,3762000,Trên 3 tỷ
145,54548,Bad,421,18,157,538,872,625258000,775083000,28025900,497380,72,74,8,0.6101687516430517,66,0.45,838,0,0.5231585084101539,Tạm ổn,2684000,Trên 1 tỷ
146,25765,Good,270,88,65,211,831,650637000,920391000,484700,3284240,108,58,1,0.3775955995402017,27,0.51,516,26,0.5165648265810941,Rất ổn định,6103000,Trên 3 tỷ
