,transaction_id,transaction_datetime,customer_id,product_id,product_lvl1,product_lvl2,product_lvl3,product_lvl4,brand,price,description,rating,num_sold,quantity,unit_price,total_amount,payment_id,promotion_id,transaction_status,transaction_type,store_id
32,32,2022-02-21 16:03:50,8066,26,Siêu thị đồ ăn,Thực phẩm tươi sống,Hoa quả,Xoài,Tropical Fruits,30000,Xoài Tropical Fruits - Ngọt ngon và giàu vitamin C.,,1351,18,30000,540000,,32.0,Thành công,Hoàn tiền,8018
33,33,2021-06-14 21:00:33,6591,72,Siêu thị đồ ăn,Đồ uống,Trà,Trà xanh Nhật Bản,Japanese Green Tea,35000,Trà xanh Nhật Bản Japanese Green Tea - Thơm ngon và thanh mát.,4.7,302,0,35000,0,,33.0,Đã giao hàng,Thanh toán,8577
34,34,2022-09-20 10:05:23,5555,109,Phụ kiện điện thoại,Pin dự phòng,Pin dự phòng 10000mAh,Pin dự phòng 10000mAh Anker,Anker,690000,Pin dự phòng 10000mAh Anker - Sạc nhanh và tiện lợi.,2.8,1291,0,690000,0,34.0,34.0,Đã tiếp nhận,Thẻ ghi nợ,8955
35,35,2022-05-25 08:04:59,8754,124,Quần áo,Áo sơ mi,Áo sơ mi nam,Áo sơ mi Uniqlo,Uniqlo,450000,Áo sơ mi Uniqlo - Thời trang và lịch sự.,,1168,8,450000,3600000,,35.0,Đang xử lý,Mua hàng,8042
36,36,2018-08-16 15:12:30,2780,42,Thể thao và Dã ngoại,Gậy golf,Gậy golf nam,Gậy golf nam Callaway Epic Speed,Callaway,3499000,Gậy golf nam Callaway Epic Speed - Đánh bóng xa và chính xác.,,592,11,3499000,38489000,36.0,36.0,Đã giao hàng,Thẻ tín dụng,8615
37,37,2022-02-21 11:29:07,4182,94,Đồ ăn,Thực phẩm đóng gói,Mì gói,Mì gói hương gà,Nissin,8000,Mì gói hương gà Nissin - Ăn liền nhanh chóng và tiện lợi.,,125,0,8000,0,,,Đã giao hàng,Mua hàng,8967
38,38,2022-01-17 07:30:06,8008,34,Đèn trang trí và Chiếu sáng,Đèn treo,Đèn treo phòng ngủ,Đèn treo phòng ngủ đẹp,Philips,699000,Đèn treo phòng ngủ đẹp Philips - Tạo không gian thư giãn và ấm cúng.,4.7,1288,1,699000,699000,38.0,,Đã xác nhận,Thanh toán,8417
39,39,2019-12-30 06:21:38,2413,32,Đồ chơi và Trò chơi,Xếp hình,Xếp hình 3D,Xếp hình 3D Big Ben,Ravensburger,590000,Xếp hình 3D Big Ben Ravensburger - Giải trí và thư giãn cho cả gia đình.,2.6,657,2,590000,1180000,39.0,,Đã tiếp nhận,Thẻ ghi nợ,8388
40,40,2018-06-21 10:48:31,9015,57,Sách,Sách tiểu thuyết,Tiểu thuyết khoa học viễn tưởng,Thế Giới Mới,Hội Nhà Văn,109000,Tiểu thuyết khoa học viễn tưởng 'Thế Giới Mới' - Cuốn sách gây cấn và đầy bất ngờ.,,721,5,109000,545000,40.0,40.0,Đã hoàn trả,Thanh toán,8303
41,41,2022-01-20 23:52:09,1872,117,Đèn trang trí và Chiếu sáng,Đèn bàn,Đèn bàn đọc sách,Đèn bàn đọc sách LED,Philips,599000,Đèn bàn đọc sách LED Philips - Ánh sáng dịu nhẹ cho việc đọc sách.,4.7,1197,17,599000,10183000,41.0,41.0,Đã giao hàng,Mua hàng,8303
42,42,2014-07-16 15:01:40,238,23,Siêu thị đồ ăn,Đồ uống,Nước ép trái cây,Nước ép trái cây cam,Juice World,35000,Nước ép trái cây cam Juice World - Tươi mát và bổ dưỡng.,,1198,0,35000,0,42.0,42.0,Đã xác nhận,Thẻ ghi nợ,8193
43,43,2020-08-18 16:32:56,9614,107,Đèn trang trí và Chiếu sáng,Bóng đèn LED,Bóng đèn LED RGB,Bóng đèn LED RGB Xiaomi,Xiaomi,199000,Bóng đèn LED RGB Xiaomi - Tùy chỉnh ánh sáng theo ý muốn.,4.6,736,0,199000,0,43.0,,Đang xử lý,Thẻ tín dụng,8163
44,44,2022-09-22 15:49:50,1684,111,Siêu thị,Thực phẩm đóng hộp,Mì gói,Mì gói hải sản,Instant Noodles,12000,Mì gói hải sản Instant Noodles - Ăn nhanh tiện lợi và thơm ngon.,4.6,906,13,12000,156000,44.0,44.0,Thành công,Thanh toán trực tuyến,8932
45,45,2022-12-27 04:48:42,9014,64,Laptop và Máy tính,Máy tính bảng,iPad,iPad Air,Apple,16990000,Apple iPad Air 10.9-inch - Máy tính bảng siêu mỏng và nhẹ.,4.8,1773,6,16990000,101940000,45.0,,Thành công,Mua hàng,8326
46,46,2018-10-30 08:39:25,172,75,Siêu thị,Thực phẩm tươi sống,Trứng,Trứng gà đồng,Free-range Eggs,25000,Trứng gà đồng Free-range Eggs - Tươi ngon và dinh dưỡng cao.,4.7,821,10,25000,250000,46.0,,Thành công,Thanh toán,8409
47,47,2019-06-14 07:42:31,5199,116,Thương mại điện tử,Máy ảnh,Máy ảnh DSLR,Canon EOS 90D,Canon,25000000,Máy ảnh Canon EOS 90D - Chụp ảnh chất lượng cao và quay video 4K.,4.7,1361,0,25000000,0,47.0,,Đã giao hàng,Hoàn tiền,8913
48,48,2022-05-09 07:11:47,7682,91,Làm đẹp và Chăm sóc cá nhân,Son môi,Son môi đỏ,Son môi đỏ Mac,MAC,329000,Son môi đỏ Mac - Màu sắc tươi tắn và lâu trôi.,4.8,1942,1,329000,329000,48.0,,Đang xử lý,Thanh toán,8253
49,49,2021-04-22 03:38:20,4600,22,Siêu thị đồ ăn,Thực phẩm đóng gói,Bánh quy,Bánh quy sữa,Biscuit Masters,15000,Bánh quy sữa Biscuit Masters - Ăn vặt ngon miệng.,4.7,321,18,15000,270000,49.0,49.0,Đang xử lý,Thẻ tín dụng,8659
50,50,2021-12-26 11:45:17,3726,99,Giày dép và Phụ kiện,Giày thể thao,Giày thể thao unisex,Giày thể thao unisex Converse Chuck Taylor,Converse,990000,Giày thể thao unisex Converse Chuck Taylor - Phong cách thời trang không lỗi mốt.,3.2,799,18,990000,17820000,,,Đã giao hàng,Mua hàng,8812
51,51,2022-12-14 22:17:23,4961,62,Đồng hồ,Đồng hồ nam,Đồng hồ nam dây da,Đồng hồ nam dây da Tissot,Tissot,4790000,Đồng hồ nam dây da Tissot - Phong cách lịch lãm và sang trọng.,4.7,668,1,4790000,4790000,,51.0,Đang xử lý,Hoàn tiền,8611
52,52,2018-09-09 23:55:07,3607,5,Siêu thị đồ ăn,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,,1807,8,45000,360000,52.0,52.0,Thành công,Mua hàng,8889
53,53,2018-02-13 12:24:50,1230,5,Siêu thị đồ ăn,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,,1807,0,45000,0,53.0,53.0,Thành công,Thẻ ghi nợ,8506
54,54,2022-02-27 17:07:59,2526,25,Tiêu dùng nhanh,Đồ ăn nhẹ,Kẹo,Kẹo caramen,Candy World,8000,Kẹo caramen Candy World - Vị ngọt dịu dàng và thơm ngon.,5.0,213,1,8000,8000,,,Đã xác nhận,Mua hàng,8973
55,55,2022-02-27 21:20:13,2942,38,Điện thoại di động,Smartphone,Pixel,Pixel 6 Pro,Google,23990000,Google Pixel 6 Pro 128GB - Trải nghiệm Android hoàn hảo cùng Google.,2.5,850,14,23990000,335860000,55.0,,Đã xác nhận,Thanh toán,8110
56,56,2022-08-13 02:00:32,9861,75,Siêu thị,Thực phẩm tươi sống,Trứng,Trứng gà đồng,Free-range Eggs,25000,Trứng gà đồng Free-range Eggs - Tươi ngon và dinh dưỡng cao.,4.7,821,0,25000,0,,,Đã giao hàng,Hoàn tiền,8740
57,57,2018-04-19 21:45:23,5178,141,Sách,Sách kỹ năng sống,Sách tâm lý,Đắc Nhân Tâm,Dale Carnegie,95000,Sách tâm lý 'Đắc Nhân Tâm' - Cuốn sách giúp cải thiện kỹ năng giao tiếp và gặt hái thành công.,5.0,1344,15,95000,1425000,57.0,,Đã xác nhận,Thẻ tín dụng,8183
58,58,2021-05-03 23:01:26,8806,40,Tiêu dùng nhanh,Đồ ăn nhanh,Bánh mỳ,Bánh mỳ thịt nguội,Bakery Delights,25000,Bánh mỳ thịt nguội Bakery Delights - Ăn sáng ngon lành và no nê.,5.0,1784,0,25000,0,,58.0,Đã hủy,Mua hàng,8797
59,59,2018-09-27 20:05:33,7318,110,Laptop và Máy tính,Laptop,ThinkPad,ThinkPad X1 Carbon,Lenovo,30990000,Lenovo ThinkPad X1 Carbon Gen 9 - Máy tính xách tay doanh nghiệp cao cấp.,4.9,786,0,30990000,0,,59.0,Đang xử lý,Thẻ ghi nợ,8465
60,60,2015-08-14 13:28:30,5548,43,Siêu thị đồ ăn,Thực phẩm đóng gói,Snack,Snack hạt điều,Nutty Bites,25000,Snack hạt điều Nutty Bites - Ăn vặt ngon miệng và bổ dưỡng.,2.7,1642,0,25000,0,,60.0,Đã giao hàng,Thẻ tín dụng,8427
61,61,2022-12-07 09:35:20,309,15,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây kim loại,Đồng hồ nữ dây kim loại Michael Kors,Michael Kors,3299000,Đồng hồ nữ dây kim loại Michael Kors - Phong cách nữ tính và thanh lịch.,4.6,1046,1,3299000,3299000,61.0,,Đang xử lý,Hoàn tiền,8142
62,62,2021-03-25 08:08:31,4536,101,Siêu thị,Thực phẩm đóng hộp,Nước mắm,Nước mắm Phú Quốc,Phu Quoc Fish Sauce,45000,Nước mắm Phú Quốc - Hương vị đặc trưng và thơm ngon.,4.6,205,9,45000,405000,62.0,,Đã giao hàng,Mua hàng,8498
63,63,2015-06-29 17:55:09,8662,81,Máy ảnh và Máy quay phim,Máy ảnh chuyên nghiệp,Máy ảnh chuyên nghiệp DSLR,Máy ảnh chuyên nghiệp DSLR Canon EOS 5D Mark IV,Canon,56490000,Máy ảnh chuyên nghiệp DSLR Canon EOS 5D Mark IV - Chất lượng hình ảnh tuyệt vời.,4.9,147,4,56490000,225960000,63.0,,Đã tiếp nhận,Thanh toán,8703
64,64,2022-05-14 17:09:11,3698,61,Siêu thị,Thực phẩm đóng gói,Bánh mỳ,Bánh mỳ sữa,Bakery Delights,15000,Bánh mỳ sữa Bakery Delights - Ăn sáng ngon lành và no nê.,2.0,801,1,15000,15000,64.0,64.0,Đã tiếp nhận,Thanh toán trực tuyến,8730
65,65,2022-05-29 11:15:07,9181,70,Rau củ,Rau,Cải ngọt,Cải ngọt trắng,Farmers' Market,15000,Cải ngọt trắng Farmers' Market - Tươi ngon và giàu chất dinh dưỡng.,4.7,917,16,15000,240000,,,Đã giao hàng,Thanh toán trực tuyến,8782
66,66,2022-01-02 13:47:58,6040,40,Tiêu dùng nhanh,Đồ ăn nhanh,Bánh mỳ,Bánh mỳ thịt nguội,Bakery Delights,25000,Bánh mỳ thịt nguội Bakery Delights - Ăn sáng ngon lành và no nê.,5.0,1784,4,25000,100000,66.0,66.0,Đã xác nhận,Mua hàng,8306
67,67,2022-07-15 04:15:08,9049,95,Đồ ăn,Thực phẩm đông lạnh,Hải sản,Tôm sú,Fresh Seafood,100000,Tôm sú Fresh Seafood - Tươi ngon và thơm ngon.,4.9,18,1,100000,100000,67.0,,Đã tiếp nhận,Thanh toán,8088
68,68,2022-12-02 10:13:23,9930,131,Thể thao và Dã ngoại,Xe đạp đua,Xe đạp đua địa hình,Xe đạp đua địa hình Trek Procaliber,Trek,24990000,Xe đạp đua địa hình Trek Procaliber - Sự lựa chọn hàng đầu của những tay đua chuyên nghiệp.,4.9,423,7,24990000,174930000,68.0,68.0,Đã giao hàng,Mua hàng,8223
69,69,2022-12-09 21:20:36,854,126,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây da,Đồng hồ nữ dây da Daniel Wellington,Daniel Wellington,2799000,Đồng hồ nữ dây da Daniel Wellington - Phong cách tinh tế và thanh lịch.,2.3,82,2,2799000,5598000,69.0,,Đã tiếp nhận,Thanh toán,8528
70,70,2022-12-04 22:45:23,8916,10,Quần áo,Quần jeans,Quần jeans nam,Quần jeans nam Levi's,Levi's,800000,Quần jeans nam Levi's - Chất liệu và kiểu dáng đẳng cấp.,4.8,618,2,800000,1600000,70.0,,Đã giao hàng,Mua hàng,8104
71,71,2021-04-21 19:37:32,1371,35,Sách,Sách tiểu thuyết,Tiểu thuyết kinh dị,It,Stephen King,125000,Tiểu thuyết kinh dị 'It' của Stephen King - Cuốn sách kinh dị và căng thẳng.,4.7,544,18,125000,2250000,,,Đã tiếp nhận,Thanh toán trực tuyến,8704
72,72,2022-07-07 15:56:26,7291,61,Siêu thị,Thực phẩm đóng gói,Bánh mỳ,Bánh mỳ sữa,Bakery Delights,15000,Bánh mỳ sữa Bakery Delights - Ăn sáng ngon lành và no nê.,2.0,801,18,15000,270000,72.0,,Thành công,Thẻ ghi nợ,8444
73,73,2022-02-03 03:29:04,5332,112,Sách,Sách tự lực,Sách phát triển bản thân,Nhà Giàu Kẻ Khó,NXB Trẻ,72000,Sách phát triển bản thân 'Nhà Giàu Kẻ Khó' - Cẩm nang tự lực và thành công.,4.7,584,0,72000,0,73.0,73.0,Đã hủy,Thanh toán trực tuyến,8123
74,74,2022-02-14 18:09:36,8749,104,Sách,Sách kỹ năng sống,Sách quản lý thời gian,7 Nguyên Tắc Quản Lý Thời Gian,NXB Lao Động,98000,Sách quản lý thời gian '7 Nguyên Tắc Quản Lý Thời Gian' - Hướng dẫn sắp xếp thời gian hiệu quả.,4.6,1053,14,98000,1372000,74.0,74.0,Đã tiếp nhận,Thanh toán,8388
75,75,2022-11-17 22:12:19,65,48,Sách,Sách tiểu thuyết,Tiểu thuyết lịch sử,Bóng Ma Trên Xương,NXB Trẻ,89000,Tiểu thuyết lịch sử 'Bóng Ma Trên Xương' - Cuốn sách hấp dẫn và lôi cuốn.,4.7,1345,3,89000,267000,75.0,75.0,Đang xử lý,Mua hàng,8997
76,76,2022-01-05 04:02:49,4266,52,Thương mại điện tử,Máy ảnh,Máy ảnh mirrorless,Sony Alpha A7III,Sony,33000000,Máy ảnh Sony Alpha A7III - Chụp ảnh chuyên nghiệp và quay video 4K.,3.5,71,1,33000000,33000000,76.0,76.0,Đã giao hàng,Mua hàng,8319
77,77,2022-01-09 15:48:38,4110,114,Siêu thị đồ ăn,Thực phẩm đóng hộp,Sữa,Sữa đặc hộp,Nestle,25000,Sữa đặc hộp Nestle - Thơm ngon và bổ dưỡng.,2.3,218,12,25000,300000,77.0,77.0,Đã xác nhận,Thanh toán trực tuyến,8559
78,78,2021-04-29 21:34:59,6880,31,Thời trang Nam/Nữ,Đầm,Đầm nữ,Đầm nữ dự tiệc,H&M,790000,Đầm nữ dự tiệc H&M - Nổi bật và quyến rũ trong bất kỳ buổi tiệc nào.,4.6,1419,8,790000,6320000,,,Đang xử lý,Thanh toán,8291
79,79,2022-12-24 13:39:14,395,30,Siêu thị đồ ăn,Thực phẩm đóng hộp,Thịt xông khói,Thịt xông khói Gà,Delimondo,65000,Thịt xông khói Gà Delimondo - Hương vị đặc trưng của Philippines.,5.0,726,3,65000,195000,79.0,,Đã giao hàng,Thanh toán,8691
80,80,2022-10-18 10:08:07,2237,19,Tiêu dùng nhanh,Đồ uống,Nước ngọt,Nước ngọt Pepsi,PepsiCo,12000,Nước ngọt Pepsi PepsiCo - Hương vị cổ điển và sảng khoái.,4.7,472,3,12000,36000,,,Đang xử lý,Thanh toán,8516
81,81,2022-08-23 21:07:32,8657,82,Thương mại điện tử,Máy nghe nhạc,Loa di động,Loa di động JBL Charge 4,JBL,3000000,Loa di động JBL Charge 4 - Âm thanh mạnh mẽ và pin trâu.,4.7,854,0,3000000,0,,81.0,Đang xử lý,Thanh toán,8313
82,82,2022-03-15 11:26:52,5560,146,Siêu thị đồ ăn,Thực phẩm đóng gói,Kẹo,Kẹo sữa dừa,Orion,12000,Kẹo sữa dừa Orion - Vị ngọt dịu dàng thơm mát.,4.6,226,0,12000,0,82.0,82.0,Đã tiếp nhận,Thanh toán,8209
83,83,2022-04-22 09:18:03,4548,130,Điện thoại di động,Smartphone,iPhone,iPhone 13 Pro,Apple,26990000,iPhone 13 Pro 128GB - Máy tính di động hàng đầu của Apple.,4.8,85,0,26990000,0,83.0,,Đã hủy,Hoàn tiền,8530
84,84,2022-02-03 04:32:18,5002,43,Siêu thị đồ ăn,Thực phẩm đóng gói,Snack,Snack hạt điều,Nutty Bites,25000,Snack hạt điều Nutty Bites - Ăn vặt ngon miệng và bổ dưỡng.,2.7,1642,1,25000,25000,84.0,,Đã tiếp nhận,Mua hàng,8539
85,85,2014-09-05 03:13:24,6376,109,Phụ kiện điện thoại,Pin dự phòng,Pin dự phòng 10000mAh,Pin dự phòng 10000mAh Anker,Anker,690000,Pin dự phòng 10000mAh Anker - Sạc nhanh và tiện lợi.,2.8,1291,13,690000,8970000,85.0,85.0,Thành công,Hoàn tiền,8998
86,86,2022-09-21 16:18:20,1109,126,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây da,Đồng hồ nữ dây da Daniel Wellington,Daniel Wellington,2799000,Đồng hồ nữ dây da Daniel Wellington - Phong cách tinh tế và thanh lịch.,2.3,82,19,2799000,53181000,86.0,,Đã giao hàng,Thanh toán trực tuyến,8298
