,customer_id,income_date,income_category,income_source,amount,tax_amount,currency,frequency,description,annual_income_category,bank
24,3000,2022-10-27,Bất động sản,Kinh doanh,18097.39,5767.51,EUR,Hàng năm,"Allow ground Republican town and successful.
After rate response turn hear ever special.",Dưới 300 triệu,"Serve reason subject white. Sometimes leave scientist she despite work.
Catch edge on store."
25,2676,2017-05-21,Bất động sản,Lương,23436.28,8142.08,VND,Hàng tháng,Cell provide west benefit. Church rate water right. General position no degree thank tough.,Dưới 300 triệu,"Second then may as affect. Prevent set role present.
Nearly tree also sing."
26,2314,2017-06-08,Lương,Lương,12759.09,28482.21,EUR,Hàng tháng,Owner positive pattern. Number avoid science sure. Nature check wide name.,Dưới 300 triệu,Weight woman only worker. Development to prove within wrong.
27,2427,2019-10-12,Đầu tư,Kinh doanh,5212.01,26967.95,VND,Hàng tháng,Approach decision culture. Win resource specific all general section pattern design.,Dưới 300 triệu,Enjoy space part protect. Western paper free hundred old finish store force.
28,2986,2016-12-23,Bất động sản,Kinh doanh,25697.83,26747.16,EUR,Hàng tháng,Professional remember relate guy. Care adult pull off paper suggest particularly common.,Dưới 300 triệu,Movement need Mrs great stay. Ago sport worry in.
29,2388,2017-08-27,Kinh doanh,Đầu tư,7475.63,19334.57,USD,Hàng tháng,Help degree bed want movie start develop. Finish likely the ground.,Dưới 300 triệu,Mission population condition measure grow visit hand letter.
30,2505,2017-04-13,Lương,Bất động sản,12401.82,17495.0,USD,Hàng năm,"Big understand free coach.
Clearly author unit actually accept camera thus.",Dưới 300 triệu,Understand truth husband daughter rate spend call choose. Law west enjoy work.
31,2922,2022-02-01,Đầu tư,Lương,8924.13,26438.42,EUR,Hàng tháng,Board understand choose raise. Try science street probably about. Miss forget land speak soon.,Dưới 300 triệu,Computer protect least thousand human try. This rise why much feeling impact.
32,2348,2023-05-18,Bất động sản,Kinh doanh,11663.39,7410.13,USD,Hàng năm,Better happen across bank. Morning nearly day chance there believe apply.,Dưới 300 triệu,Brother who head available perform language season. Time trip institution many reduce key.
33,2937,2023-03-20,Bất động sản,Kinh doanh,6633.07,6010.01,VND,Hàng tháng,Expect sing analysis front what house modern indeed. Sound stock election bar heavy.,Dưới 300 triệu,Store meet economic available. Phone three yet another. More stop prepare.
34,2171,2016-09-13,Kinh doanh,Đầu tư,23977.9,20005.22,USD,Hàng năm,More standard me themselves.,Dưới 300 triệu,How police join once threat call total. Not serve walk.
35,2347,2017-11-30,Đầu tư,Lương,12280.38,26685.5,EUR,Hàng năm,Argue capital until speech quite attorney. Without fire school size contain since.,Dưới 300 triệu,Something maybe water.
36,2139,2022-06-25,Lương,Đầu tư,5978.44,6829.84,VND,Hàng tháng,"Can movie grow as.
Stay some foot race family. Eye take candidate attorney. Again as move similar.",Dưới 300 triệu,Growth century ground a commercial arrive tonight purpose. We all including.
37,2350,2013-11-10,Lương,Bất động sản,6916.29,18756.87,EUR,Hàng tháng,"Society hot follow cup fall little.
Color too discuss. Place upon entire but skill property.",Dưới 300 triệu,Baby draw age task this. Often model institution it need close carry. Tax team treat read letter.
38,2976,2014-02-26,Đầu tư,Đầu tư,27269.2,19111.17,VND,Hàng năm,Democratic fear system management push sign.,Dưới 300 triệu,Too decide work himself. Own degree certain upon.
39,2919,2015-09-17,Đầu tư,Lương,24675.37,25694.2,VND,Hàng tháng,Big share court worker. Get room collection entire something either. Matter surface site.,Dưới 300 triệu,Game may week you land identify. Skill bad friend oil close us. Scene so job.
40,2094,2020-02-04,Bất động sản,Lương,25653.0,24746.96,VND,Hàng tháng,Be course hard model life will strong high. Company use computer six anything.,Dưới 300 triệu,Nation store last.
41,2805,2015-02-10,Bất động sản,Kinh doanh,7888.95,9184.59,VND,Hàng tháng,Never help bit tax threat. Big certainly bank feeling space later forget.,Dưới 300 triệu,Idea great well himself list group. Large single new same practice oil capital see.
42,2762,2021-05-23,Lương,Bất động sản,27769.11,14456.93,EUR,Hàng năm,Bad provide how land beat. National blood father economy. Three play stop place since.,Dưới 300 triệu,Financial seven very great address. Tend born his agree get eat.
43,2564,2016-05-28,Đầu tư,Bất động sản,12861.49,10190.37,USD,Hàng tháng,Better religious education sister.,Dưới 300 triệu,Politics great far pass us town reveal result. Star eat still field.
44,2028,2015-04-25,Lương,Đầu tư,23162.09,13006.28,USD,Hàng năm,Change just road receive situation south. Energy performance left this report put site act.,Dưới 300 triệu,White everyone agent art general. Suddenly measure board poor everything.
45,2409,2015-09-04,Lương,Lương,27834.8,29245.33,USD,Hàng tháng,Page hand decade increase argue ball ten. Think call fight land itself describe.,Dưới 300 triệu,Fact garden again fire bit minute character. Actually realize fire.
46,2257,2018-02-25,Kinh doanh,Bất động sản,21545.86,11477.15,EUR,Hàng tháng,Church individual write TV. Once age degree wall environment role create.,Dưới 300 triệu,"So recently author cold remember.
Even lot young state. Director play suffer because old or."
47,2315,2015-09-28,Kinh doanh,Kinh doanh,14011.59,25499.43,VND,Hàng năm,Whom strategy face sing community recent. Inside enter price seem wonder window story.,Dưới 300 triệu,Cost clearly important available style. Price get star side.
48,2093,2015-07-20,Đầu tư,Kinh doanh,14761.96,12669.61,USD,Hàng tháng,"Leader election quite medical. Hair beat wife enter need focus floor.
Almost far attorney coach.",Dưới 300 triệu,Need nice time west military. Control new sense find.
49,2325,2021-05-07,Đầu tư,Kinh doanh,13358.34,18605.64,EUR,Hàng tháng,Us activity against sign. Art entire despite government stop across coach.,Dưới 300 triệu,Ok real if yard home. Pressure we it human attention production. Social experience middle.
50,2251,2015-12-20,Kinh doanh,Lương,25206.58,15044.34,USD,Hàng tháng,Book growth stand leave beat. Tax democratic current bring should. Walk partner try.,Dưới 300 triệu,Certainly right born three opportunity development difficult. Table toward per personal.
51,2747,2022-02-21,Lương,Lương,20884.55,12270.54,USD,Hàng năm,Cold they million American for.,Dưới 300 triệu,Not improve method ago thank on. Change want way air strategy. Field where sing TV rate if realize.
52,2481,2016-07-01,Kinh doanh,Lương,17535.74,24874.59,VND,Hàng tháng,Congress enough interesting ahead understand stay begin. Performance service mission talk.,Dưới 300 triệu,Build test man concern born.
53,2184,2015-12-21,Kinh doanh,Kinh doanh,25538.75,12994.6,VND,Hàng năm,Month let machine business individual condition. World test doctor again create structure.,Dưới 300 triệu,College move agreement do specific data technology. Clearly left area who tonight current.
54,2130,2015-04-22,Kinh doanh,Kinh doanh,18637.32,23065.71,USD,Hàng tháng,Left tax sound office land recently set. Should movement rate nor price. Training wear of.,Dưới 300 triệu,Particular others evening several probably maybe edge. Sit safe because page service always I.
55,2183,2016-01-22,Đầu tư,Bất động sản,18437.31,6213.97,EUR,Hàng tháng,Eye return peace task down do. Town benefit increase seek.,Dưới 300 triệu,Sign big someone action own hotel and. Fact attorney act serve despite.
56,2259,2014-11-07,Lương,Bất động sản,25206.32,18731.75,EUR,Hàng năm,"Religious grow increase once life. Begin list cut look without.
Two plant camera summer.",Dưới 300 triệu,"Son religious eye when. Stage lot amount.
Person quite fly century."
57,2872,2013-08-29,Bất động sản,Lương,14892.76,13466.73,USD,Hàng năm,Because person table eat suffer fall. Peace next write through effect ask.,Dưới 300 triệu,Democrat effect decision east short magazine national. Child on so attention alone modern.
58,2025,2022-03-24,Bất động sản,Lương,6558.04,13873.59,VND,Hàng tháng,Base claim until white side sing. Risk series always per. Statement vote she.,Dưới 300 triệu,The finally against similar form. Buy quickly thing every position party.
59,2142,2020-12-25,Đầu tư,Đầu tư,14944.93,15027.05,EUR,Hàng tháng,Gas partner various book. Might land coach.,Dưới 300 triệu,Carry wind in. Nation join value happen once popular.
60,2240,2023-06-08,Bất động sản,Lương,9439.45,12931.04,EUR,Hàng năm,Respond spend stop perform fill Mrs. Seem physical car professional structure work study.,Dưới 300 triệu,"Woman art lose money. Wear attorney stay deal.
Because whom check nice side need. Hair or about."
61,2953,2013-10-19,Kinh doanh,Kinh doanh,12824.62,22173.73,VND,Hàng năm,Approach training dinner article drug people type. Sea arrive matter.,Dưới 300 triệu,Dinner she information involve magazine.
62,2346,2023-05-07,Đầu tư,Kinh doanh,6204.93,6788.78,EUR,Hàng năm,Tree model election mouth senior size. Work the might.,Dưới 300 triệu,Every dark house ahead walk little into during. Entire even marriage hotel inside else join power.
63,2164,2015-01-18,Kinh doanh,Đầu tư,12467.95,12489.16,EUR,Hàng năm,Special exactly budget station. Smile main wish act lawyer mother year various.,Dưới 300 triệu,Local executive money run. Police rock what watch black. Ever identify democratic follow.
64,2170,2014-02-23,Bất động sản,Lương,26406.93,27415.11,EUR,Hàng năm,Play recently occur life. Turn agree democratic simply allow agree our go.,Dưới 300 triệu,Record well indeed bar a door continue heavy. Even so another girl catch.
65,2181,2020-05-02,Kinh doanh,Đầu tư,15668.82,28542.33,EUR,Hàng tháng,Instead name none card future radio early. New note writer modern.,Dưới 300 triệu,Police either fire write player authority. These wish will seat history mouth news.
66,2507,2014-09-10,Bất động sản,Đầu tư,14599.42,26136.62,EUR,Hàng tháng,Bank central some hospital doctor prove personal. Eight attack explain performance civil.,Dưới 300 triệu,World shake him relationship health everybody. Develop moment thank shake.
67,2537,2016-10-16,Lương,Đầu tư,20711.21,11688.16,VND,Hàng tháng,Hour purpose past do born single receive. Your risk about low draw involve wear.,Dưới 300 triệu,Early catch catch. Treatment society many late without.
68,2993,2021-05-31,Lương,Bất động sản,26274.26,11024.76,USD,Hàng năm,Word another look conference beautiful near. Relate per decision game behind color.,Dưới 300 triệu,Break little increase him. Play budget become rest.
69,2407,2014-04-02,Kinh doanh,Đầu tư,15953.22,20560.06,USD,Hàng tháng,Director quite argue whatever full around. Describe suggest employee.,Dưới 300 triệu,Property general have lawyer. You consumer defense plan big watch.
70,2123,2018-11-20,Bất động sản,Bất động sản,27732.4,21512.74,USD,Hàng tháng,Image live design especially arm. Involve rate write into citizen attack.,Dưới 300 triệu,Day live newspaper bank. Mrs minute short mind detail although.
71,2388,2019-01-24,Lương,Kinh doanh,18209.08,19477.07,VND,Hàng tháng,Office within yeah method college. Author affect one drug plant true. Save goal admit learn.,Dưới 300 triệu,Rule appear at character. Raise receive animal left artist. Behavior most our other risk.
72,2856,2015-01-09,Đầu tư,Kinh doanh,9321.31,8710.26,VND,Hàng năm,Source hit hope collection cell. And phone save big guess board foreign.,Dưới 300 triệu,Watch pretty spring order. Laugh seven sea well issue remember.
73,2319,2021-01-16,Đầu tư,Bất động sản,24777.27,25216.37,VND,Hàng năm,Court little guy trial past. Rich state north. Present Mr style financial prepare position price.,Dưới 300 triệu,Whose bill southern model. Leader still do themselves put. Particular American respond them impact.
74,2503,2019-05-23,Bất động sản,Lương,24226.68,19263.62,USD,Hàng tháng,Exactly ground wear miss tend participant one. Base pressure give someone.,Dưới 300 triệu,Thank sea about. Shoulder five page all nothing response traditional half.
75,2291,2021-06-11,Lương,Lương,7951.79,23681.63,EUR,Hàng năm,Money true ok line investment. Range authority style stuff walk understand.,Dưới 300 triệu,Television doctor site itself.
76,2989,2017-09-09,Kinh doanh,Lương,17509.29,19314.46,USD,Hàng năm,"Spend be magazine war. Traditional form project.
Herself notice fire poor once we move.",Dưới 300 triệu,Forget him can herself. Camera break animal other role. Gun health wrong southern.
77,2516,2016-07-31,Đầu tư,Đầu tư,5021.12,16057.86,USD,Hàng năm,Until without vote. Sea enough short seat early. American star someone quite wonder the.,Dưới 300 triệu,Give life rock current poor natural actually. Coach soldier later job. Really five face debate.
78,2313,2017-06-26,Bất động sản,Đầu tư,24577.18,22085.32,USD,Hàng tháng,Total another skill. Accept nice three.,Dưới 300 triệu,Turn effect issue as color. Enjoy health care thank pretty hundred. Magazine once Mrs better last.
79,2664,2015-01-17,Bất động sản,Bất động sản,10097.85,5096.89,USD,Hàng tháng,Machine keep sea best agency husband cell. Bring fish what.,Dưới 300 triệu,Have alone suddenly data window. Sense language study impact threat benefit.
80,2946,2015-12-02,Bất động sản,Bất động sản,28436.91,22803.23,USD,Hàng tháng,Line trouble like something film eight. Next particularly maybe executive simply question.,Dưới 300 triệu,Piece city college measure game culture. Office light trade serious.
81,2461,2022-08-06,Kinh doanh,Đầu tư,18154.77,21963.7,EUR,Hàng năm,Focus pay suggest. Daughter everybody body seek almost nature hard discussion.,Dưới 300 triệu,Bar trial talk wish stop feel support item. Plant these like positive protect.
82,2994,2013-10-06,Bất động sản,Đầu tư,26531.13,19610.7,EUR,Hàng tháng,Stand president establish manage. Risk south that week. Soon state bank foot hand director.,Dưới 300 triệu,You seat state. On others could. Practice price fast as sure.
83,2505,2016-01-11,Kinh doanh,Đầu tư,20741.88,15174.97,EUR,Hàng tháng,Environmental small need table pay option world. Serious fine value pressure region mission road.,Dưới 300 triệu,South industry at situation among fight sing. Claim catch then property local whatever today world.
84,2649,2018-04-13,Bất động sản,Đầu tư,26156.7,24187.49,EUR,Hàng tháng,Rest affect sure science country any. Cup than style write president. About tax place why.,Dưới 300 triệu,Task prove similar level sport result. Rule general old region dream bit.
85,2358,2018-05-08,Đầu tư,Bất động sản,26848.55,18606.17,VND,Hàng năm,Mention move guess send factor. Off experience yet high. Paper high position want.,Dưới 300 triệu,Interview forward star fact data college know of. List page suffer occur actually part suddenly.
86,2853,2021-05-09,Đầu tư,Bất động sản,9240.55,17758.16,USD,Hàng tháng,Everyone table range box check life heart. Grow clear model conference pull.,Dưới 300 triệu,Newspaper yeah game edge. Soldier close our no. International from she think green nor no.
87,2763,2019-10-02,Bất động sản,Lương,13879.43,21421.09,VND,Hàng tháng,Begin address either here. Guess wait environmental teacher everyone.,Dưới 300 triệu,Series memory degree. According use write huge. Chair skill page day more toward explain.
88,2520,2022-11-23,Kinh doanh,Lương,15048.09,22222.71,EUR,Hàng năm,Happen rest space two knowledge. Him economic Mr forward.,Dưới 300 triệu,Arrive bill upon somebody process imagine population.
89,2214,2015-09-05,Kinh doanh,Kinh doanh,27150.63,11726.73,VND,Hàng năm,"Clear wait hard thing final company which. Ability reduce candidate.
Me lead full none and.",Dưới 300 triệu,Drug become thank exist hope upon strategy within. Relate then heavy age him throughout charge.
90,2480,2018-05-26,Lương,Kinh doanh,12421.91,23377.16,EUR,Hàng năm,Off program bit Republican. Attention up pattern citizen than image.,Dưới 300 triệu,A edge usually follow. Operation develop child year energy.
91,2365,2021-08-17,Kinh doanh,Bất động sản,19026.12,9309.07,USD,Hàng năm,Think media in middle street. Use center return purpose. Field threat resource leave coach media.,Dưới 300 triệu,Material area fast town value. Student college movie she office.
92,2734,2021-02-09,Kinh doanh,Đầu tư,29094.71,22667.26,EUR,Hàng tháng,Sign blood center born sea. Four build democratic our usually onto standard.,Dưới 300 triệu,Doctor exactly behind force state recent. Land whole draw fight nice become.
93,2873,2018-08-23,Bất động sản,Đầu tư,28199.94,28328.1,VND,Hàng năm,Many toward in suddenly southern. Best cost direction sport sound responsibility.,Dưới 300 triệu,Against throw morning exactly economic. Nothing mean general today term sometimes.
94,2195,2017-08-10,Lương,Kinh doanh,26776.33,19478.66,EUR,Hàng tháng,Hundred decide whose buy call. Pass believe be us. Represent nation certainly project wide impact.,Dưới 300 triệu,Mind have individual protect quite dark attorney. Knowledge feeling west professional.
95,2621,2023-05-12,Đầu tư,Bất động sản,18164.81,8465.49,VND,Hàng năm,Sound hard poor lose. Item drop any experience soldier certainly. Civil woman feeling letter item.,Dưới 300 triệu,Account great method friend collection deep. Bring after both everything evening.
96,2370,2019-03-22,Đầu tư,Bất động sản,11012.34,22953.95,EUR,Hàng năm,Piece new way over mention. Nothing change anything city try. Fine detail do fast hour.,Dưới 300 triệu,Guess population citizen car fill worker there. Course citizen get. Face cut safe executive old.
97,2070,2014-02-05,Lương,Kinh doanh,14925.2,17309.04,VND,Hàng tháng,Entire few serve read region training these.,Dưới 300 triệu,Sound behavior art along ground whether write toward. Determine serious fine ability.
98,2047,2013-10-23,Lương,Lương,27221.9,10413.94,VND,Hàng năm,Loss whose center production education minute. Party image on read school million.,Dưới 300 triệu,Result create tough.
99,2721,2021-05-21,Bất động sản,Đầu tư,21573.13,11864.36,EUR,Hàng tháng,Whether oil according become remember I.,Dưới 300 triệu,Main then home next. Spring fill hand start. Nearly blood position can.
100,2098,2020-03-16,Kinh doanh,Bất động sản,10830.45,16245.35,VND,Hàng tháng,Long wife across ground such. Assume beat talk phone with.,Dưới 300 triệu,Lay represent exactly. Learn star expect environment vote unit far. Have physical ago both new you.
101,2242,2014-07-25,Đầu tư,Bất động sản,18675.49,14739.84,USD,Hàng năm,Speech camera determine report star every.,Dưới 300 triệu,Notice meet never great physical area. Attention know such few opportunity voice door.
102,2339,2016-04-28,Bất động sản,Lương,27737.18,29859.84,VND,Hàng tháng,Vote single inside nice something situation. Type particularly behavior mission phone human food.,Dưới 300 triệu,Chance like first. Maybe left law recognize yet morning writer. Eat radio state deep.
103,2817,2017-12-25,Lương,Bất động sản,12989.36,14578.69,EUR,Hàng năm,First foot thought safe he little able. Stay possible southern home water red TV.,Dưới 300 triệu,Detail long dream forward choose including. Sea ready create since.
104,2941,2015-07-04,Kinh doanh,Bất động sản,9001.7,25605.6,EUR,Hàng tháng,History him describe father today. Rock age next such represent Congress.,Dưới 300 triệu,Just indicate allow because rich training. Possible staff we activity may.
105,2813,2017-02-17,Lương,Lương,14681.79,26907.69,EUR,Hàng tháng,Increase moment similar scene I act. Likely ten boy.,Dưới 300 triệu,Nearly marriage participant treatment. Point strategy popular box.
106,2579,2016-03-07,Bất động sản,Đầu tư,8249.47,16572.23,USD,Hàng tháng,Certain also probably home without. Detail article mouth garden guess really manage watch.,Dưới 300 triệu,Charge short stage serve development. Nor spring minute year.
107,2037,2016-05-31,Lương,Kinh doanh,6070.37,11839.76,VND,Hàng năm,Career often save trouble a take. Energy allow sister. Begin minute American hot me play.,Dưới 300 triệu,Song cultural pretty where unit party. Open any beat key.
108,2094,2022-05-24,Kinh doanh,Lương,17491.55,8257.79,USD,Hàng tháng,"Minute understand size range remember give authority.
Mission thing fast. Sort machine type.",Dưới 300 triệu,Response teach game front reduce language whatever.
109,2679,2017-03-08,Bất động sản,Bất động sản,13245.12,11699.33,USD,Hàng tháng,Nation class word through mission own month far. Plan hot responsibility choose deep.,Dưới 300 triệu,North side management.
110,2252,2016-02-29,Lương,Kinh doanh,13740.37,20133.82,EUR,Hàng tháng,Let summer center.,Dưới 300 triệu,Hour ago memory when from.
111,2927,2017-08-29,Đầu tư,Bất động sản,18452.36,22791.21,EUR,Hàng năm,Game sound admit two consumer. Dog question eight partner. Less white he onto follow.,Dưới 300 triệu,Conference east wonder goal. Color last talk stage themselves dinner until.
112,2942,2020-03-14,Lương,Đầu tư,23582.08,23027.88,VND,Hàng năm,Picture some network break peace federal.,Dưới 300 triệu,Great finish there majority explain she.
113,2182,2019-09-15,Lương,Kinh doanh,6467.73,10083.66,USD,Hàng tháng,Support natural strategy. Stuff professor often health road recently research minute.,Dưới 300 triệu,Those trial production character almost nature. Name computer start green.
114,2055,2022-06-28,Lương,Bất động sản,17528.2,7482.05,USD,Hàng tháng,Data most energy on indeed cup. Plan bank carry way perhaps statement. Gas sense not along worker.,Dưới 300 triệu,Certain billion up amount car. We may teach result deep book.
115,2130,2021-11-02,Lương,Bất động sản,21606.41,27385.34,EUR,Hàng năm,Hotel share floor soon keep where join. Case brother dinner thing wife.,Dưới 300 triệu,Level lead later indicate whether when. Fight hundred never name.
116,2026,2015-10-06,Đầu tư,Lương,11250.21,13135.35,USD,Hàng tháng,Strong drive financial majority simple international go.,Dưới 300 triệu,Board travel traditional. Bring dream carry deal else turn.
117,2881,2015-09-11,Bất động sản,Lương,23315.15,12830.17,VND,Hàng năm,Paper old community personal ready. Social employee kid common fight soldier stand.,Dưới 300 triệu,Seek huge start official nice movie worker. Color and technology. Man three something sort.
118,2814,2021-10-20,Bất động sản,Lương,26396.49,12593.61,USD,Hàng tháng,Anything describe job play people. Glass happen matter human least. Activity ready ago range.,Dưới 300 triệu,Loss month movie reduce operation body. Trip police money himself so.
119,2515,2014-12-18,Kinh doanh,Đầu tư,28075.93,17733.0,USD,Hàng năm,Amount watch amount claim source time. Mind any above west plan continue both.,Dưới 300 triệu,Perhaps tax end choose able. Standard need consumer hold.
120,2108,2015-06-06,Kinh doanh,Bất động sản,18093.66,18966.15,EUR,Hàng tháng,To street with yeah energy pass. Store peace room before. Reflect similar two subject seat.,Dưới 300 triệu,Language tough lay piece. By respond kid class chair source.
121,2919,2020-08-16,Đầu tư,Kinh doanh,9999.35,14730.96,USD,Hàng tháng,Everybody sort now own can appear home yeah. Campaign home trade home meeting.,Dưới 300 triệu,Traditional across nature agreement hit current month. Various add subject political.
122,2420,2016-08-20,Đầu tư,Kinh doanh,19372.64,6089.37,EUR,Hàng năm,Every vote send produce. Much top his factor should start work. Look require among almost.,Dưới 300 triệu,Check whatever politics white. Month result half particularly middle president size.
123,2428,2019-07-08,Đầu tư,Đầu tư,13815.4,13132.22,EUR,Hàng tháng,Smile job final TV image technology follow. Quality vote ball second allow way.,Dưới 300 triệu,Follow per know move season. Truth pay green message along deep. Sea care food scene she quality.
124,2539,2023-02-21,Lương,Kinh doanh,12927.77,23170.14,USD,Hàng tháng,House tough ready exist include cause. Set sound discover she possible total model.,Dưới 300 triệu,Economy better four know. Red social able recently. Page fact force population energy east kid.
125,2463,2015-04-12,Đầu tư,Bất động sản,16353.55,14104.14,EUR,Hàng năm,Tv member ability risk. Available foreign growth doctor similar rise.,Dưới 300 triệu,Pattern front thousand front lay thank. Military other government apply whose.
126,2836,2020-02-29,Lương,Lương,8364.53,18092.79,EUR,Hàng năm,Other identify one apply let wish. Edge here either care fall remember. Apply brother weight a.,Dưới 300 triệu,Various conference actually represent how. Want cover leave build approach.
127,2803,2019-04-25,Kinh doanh,Đầu tư,14039.44,28557.84,EUR,Hàng năm,Tree fast strategy expect establish main expert.,Dưới 300 triệu,Where traditional item office election. Leader window voice Republican story.
128,2413,2017-09-10,Đầu tư,Bất động sản,19956.54,13511.29,EUR,Hàng tháng,Couple cold service. Eat phone from our budget billion high.,Dưới 300 triệu,Factor security bed anyone. Another admit I state interview former air.
129,2030,2017-06-06,Kinh doanh,Đầu tư,22181.05,19069.39,VND,Hàng tháng,Dark change interest dark use clearly. Some also population road through but leg away.,Dưới 300 triệu,Evening inside same religious possible. Industry case our better ago deal help.
130,2785,2022-10-03,Bất động sản,Lương,25293.2,29464.9,EUR,Hàng năm,Choose public big report nothing.,Dưới 300 triệu,Pull wide myself hand serious thus star.
131,2732,2023-04-02,Lương,Kinh doanh,11542.44,20803.53,EUR,Hàng tháng,Should suffer case book adult even either. Foot measure fact real sign perhaps firm.,Dưới 300 triệu,Capital really much can why better resource. Response them office close view he color.
